Latin,"Translation 1","Translation 2","Translation 3","Translation 4","Translation 5","Translation 6","Translation 7","Translation 8","Translation 9","Translation 10","Translation 11"
"Mārcus et Gaius nōn virī sunt, sed puerī.","Marcus and Gaius are not men, but boys.","Marcus and Gaius aren't men, but boys.","Marcus and Gaius are not men, but they are boys.","Marcus and Gaius aren't men, but they are boys.",,,,,,,
"estne fēmina Sempronia? nōn fēmina est, sed puella.","Is Sempronia a woman? She is not a woman, but a girl.","Is Sempronia a woman? She isn't a woman, but a girl.","Is Sempronia a woman? She is not a woman, but she is a girl.","Is Sempronia a woman? She isn't a woman, but she is a girl.",,,,,,,
"agricolae bene vīvere nōn semper potuērunt, sed nunc vītam cum ōtiō agere possunt.","Farmers were not always able to live well, but now they are able to live life with leisure.","Farmers weren't always able to live well, but now they're able to live life with leisure.","Farmers were not always able to live well, but now they are able to lead life with leisure.","Farmers weren't always able to live well, but now they're able to lead life with leisure.","Farmers could not always live well, but can now live life with leisure.","Farmers could not always live well, but can now lead life with leisure.","Farmers were not always able to live well, but can now live life with leisure.","Farmers could not always live well, but are now able to live life with leisure.","Farmers could not always live well, but now they can live life with leisure.","Farmers could not always live well, but now they can lead life with leisure.",
"sī bellum hodiē est, crās exitium erit.","If war is today, there will be destruction tomorrow.","If there is war today, there will be destruction tomorrow.","If war is today, destruction is tomorrow.","If there is war today, destruction is tomorrow.","If war is today, destruction will be tomorrow.","If there is war today, destruction will be tomorrow.",,,,,
"poēta dē formā numerī amīcārum scrībere potest.","The poet is able to write about the beauty of a number of friends.","The poet can write about the beauty of a number of friends.","The poet is able to write about the form of a number of friends.","The poet can write about the form of a number of friends.","The poet is able to write about the shape of a number of friends.","The poet can write about the shape of a number of friends.","The poet is able to write about the beauty of a number of girlfriends.","The poet is able to write about the beauty of a number of his girlfriends.","The poet can write about the beauty of a number of girlfriends.","The poet can write about the beauty of a number of his girlfriends.",
"agricolae ex agrīs herī vēnērunt, sed domum hodiē redīre possunt.","The farmers came out of the fields yesterday, but are able to return home today.","The farmers came out of the fields yesterday, but can return home today.","The farmers came from the fields yesterday, but are able to return home today.","The farmers came from the fields yesterday, but can return home today.","The farmers came out of the fields yesterday, but are able to go back home today.","The farmers came out of the fields yesterday, but can go back home today.","The farmers came from the fields yesterday, but are able to go back home today.","The farmers came from the fields yesterday, but can go back home today.","The farmers came out of the fields yesterday, but they are able to return home today.","The farmers came out of the fields yesterday, but they can return home today.",
"quod periit, periit.","What has died, has died.","What died, died.","That which has died, has died.","That which died, died.","What has died, died.","What died, has died.","That which has died, died.","That which died, has died.","What has perished, has perished.","That which has perished, has perished.",
"est lupus in fābulā.","The wolf is in the story.","There is a wolf in the story.","There exists a wolf in the story.","A wolf is in the story. ",,,,,,,
"vīta vīnum est.","Life is wine.","Wine is life.",,,,,,,,,
"nihil sine Deō.","Nothing without God.","There is nothing without God.","Nothing exists without God.",,,,,,,,
"dum vīta est, spēs est.","While there is life, there is hope.","While life exists, hope exists.",,,,,,,,,
"nihil in terrā sine causā est.","Nothing on earth is without cause.","There is nothing on earth without cause.","Nothing on earth is without a cause.","There is nothing on earth without a cause.","Nothing on earth is without reason.","There is nothing on earth without reason.","Nothing on earth is without a reason.","There is nothing on earth without a reason.","Nothing on earth exists without cause.","Nothing on earth exists without a cause.",
"satis vīxī; invictus enim pereō.","I lived enough; for I die unconquered.","I have lived enough; for I die unconquered.","I lived enough; for I am dying unconquered.","I have lived enough; for I am dying unconquered.","I lived enough; for unconquered I die.","I have lived enough; for unconquered I die.","I lived enough; for I perish unconquered.","I have lived enough; for I am perishing unconquered.","I lived enough; for I pass away unconquered.","I have lived enough; for I am passing away unconquered.",
"sine amīcitiā vīta est nihil.","Without friendship life is nothing.","Life is nothing without friendship.",,,,,,,,,
"sum quod eris, fuī quod es.","I am what you will be, I was what you are.","I am that which you will be, I was that which you are.","I am what you will be, I was that which you are.","I am that which you will be, I was what you are.",,,,,,,
"sunt puerī puerī; puerī puerīlia agunt.","Boys are boys; boys do boyish things.","Children are children; children do childish things.","Children are children; children do puerile things.","Boys are boys; boys do childish things.","Boys are boys; boys do puerile things.","Boys are being boys; boys are doing childish things.","Boys are being boys; boys are doing puerile things.",,,,
"vīta rustica iūstitiae magistra est.","Rural life is the teacher of justice.","Rustic life is the teacher of justice.","Rural life is the master of justice.","Rustic life is the master of justice.",,,,,,,
"fac nunc tibi amīcōs.","Now make friends for yourself.","Make friends for yourself now.",,,,,,,,,
"quis potest sine offulā vīvere?","Who is able to live without a little treat?","Who can live without a little treat?","Without a little treat, who is able to live?","Without a little treat, who can live?",,,,,,,
"Plato ipse melius dīcere nōn potuit.","Plato himself was not able to say better.","Plato himself could not say better.","Plato himself was not able to speak better.","Plato himself could not speak better.","Plato himself could not better speak.","Plato himself could not better say.","Plato himself has not been able to speak better.","Plato himself wasn't able to speak better.","Plato himself couldn't speak better.","Plato himself hasn't been able to speak better.",
"sine amīcō nōn potes bene vīvere.","Without a friend you are not able to live well.","Without a friend you cannot live well.","You are not able to live well without a friend.","You cannot live well without a friend.","Without a friend you can't live well.","You can't live well without a friend.","Without a friend you aren't able to live well.","You aren't able to live well without a friend.","Without a friend you are not able to live satisfactorily.","Without a friend you cannot live satisfactorily.",
"natūram frēnāre potes, sed vincere numquam.","You are able to bridle nature, but never conquer.","You can bridle nature, but never conquer.","You are able to curb nature, but never conquer.","You can curb nature, but never conquer.","You are able to restrain nature, but never conquer.","You can restrain nature, but never conquer.","You can bridle nature, but you can never conquer it.","You can curb nature, but you can never conquer it.","You can restrain nature, but you can never conquer it.","You are able to bridle nature, but you are never able to conquer it.",
"ager sine cultūrā fructuōsus esse nōn potest.","A field without cultivation cannot be fruitful.","A field without cultivation cannot be productive.","A field cannot be fruitful without cultivation. ","A farm without cultivation cannot be fruitful.","A farm without cultivation cannot be productive.","A field without cultivation is not able to be fruitful.","A field without cultivation is not able to be productive.","A field is not able to be fruitful without cultivation.","A field is not able to be productive without cultivation.","Without cultivation, a field cannot be fruitful.",
"scrīptor librum dē amōre pācis scrīpsit. verba eius legō.","A writer wrote a book about the love of peace. I read his words.","A writer wrote a book about the love of peace. I am reading his words.","A writer has written a book about the love of peace. I read his words.","A writer has written a book about the love of peace. I am reading his words.",,,,,,,
"ubi virtūte patriam rēx regit, populus sine timōre vīvit.","Where the king rules his homeland with virtue, the people live without fear.","When the king rules his homeland with virtue, the people live without fear.","Where the king rules the homeland with virtue, the people live without fear.","When the king rules the homeland with virtue, the people live without fear.","Where the king rules the fatherland with virtue, the people live without fear.","When the king rules his fatherland with virtue, the people live without fear.","Where the king rules the homeland with excellence, the people live without fear.","When the king rules the homeland with excellence, the people live without fear.","Where the king rules the fatherland with excellence, the people live without fear.","When the king rules his fatherland with excellence, the people live without fear.",
"in carminibus poētārum dē mōribus hominum legimus.","We are reading about the customs of men in the poems of the poets.","We are reading about the manners of men in the poems of the poets.","We are reading about the natures of men in the poems of the poets.","We are reading about the habits of men in the poems of the poets.","We read about the customs of men in the poems of the poets.","We read about the manners of men in the poems of the poets.","We read about the natures of men in the poems of the poets.","We read about the habits of men in the poems of the poets.","In the songs of the poets we are reading about the customs of men.","In the songs of the poets we are reading about the habits of men.",
"nihil de timōre bellī discere possumus nisi veritātem dē pāce intellegimus.","We are able to learn nothing about the fear of war except that we understand the truth about peace.","We can learn nothing about the fear of war unless we understand the truth about peace.","We are able to learn nothing about the fear of war if not that we understand the truth about peace.","We can learn nothing about the fear of war if not that we understand the truth about peace.","We are able to learn nothing from the fear of war except that we understand the truth about peace.","We can learn nothing from the fear of war except that we understand the truth about peace.","We are able to learn nothing about a fear of war except that we understand the truth about peace.","We can learn nothing about a fear of war except that we understand the truth about peace.","We are able to learn nothing from a fear of war except that we understand the truth about peace.","We can learn nothing from a fear of war except that we understand the truth about peace.",
"dē honōribus Rōmānōrum aut dē sententiīs Graecōrum semper scrīptōrēs scrībunt.","The writers always write about the honours of the Romans or about the opinions of the Greeks. ","The writers always write about the honours of the Romans or about the judgments of the Greeks. ","The writers always write about the honours of the Romans or about the ideas of the Greeks. ","The writers always write about the offices of the Romans or about the opinions of the Greeks. ","The writers always write about the privileges of the Romans or about the opinions of the Greeks. ","The writers always write about the offices of the Romans or about the judgments of the Greeks. ","The writers always write about the privileges of the Romans or about the judgments of the Greeks. ","The writers always write about the offices of the Romans or about the ideas of the Greeks. ","The writers always write about the privileges of the Romans or about the ideas of the Greeks. ","Writers always write about the honours of the Romans or about the opinions of the Greeks. ",
"nōlīte filiīs agricolārum dē labōre dīcere. labōrem intellegunt.","Don't speak to the sons of the farmers about labour. They understand labour.","Don't speak about labour to the sons of the farmers. They understand labour.","Don't speak to the sons of the farmers about work. They understand work.","Don't speak about work to the sons of the farmers. They understand work.","Don't speak to the sons of the farmers about toil. They understand toil.","Don't speak about toil to the sons of the farmers. They understand toil.","Do not speak to the sons of the farmers about labour. They understand labour.","Do not speak about labour to the sons of the farmers. They understand labour.","Do not speak to the sons of the farmers about work. They understand work.","Do not speak about work to the sons of the farmers. They understand work.",
"numerum virōrum in bellum rēx dūxit.","The king led a number of men into war.","The king has led a number of men into war.","The king led a number of men to war.","The king has led a number of men to war.","The king led a number of his men into war.","The king has led a number of his men into war.","The king led a number of men into the war.","The king has led a number of men into the war.","The king led a number of his men into the war.","The king has led a number of his men into the war.",
"nihil sine labōre capere potuimus.","We could seize nothing without labour.","We were able to seize nothing without labour.","We could take nothing without labour.","We could catch nothing without labour.","We could get nothing without labour.","We were able to take nothing without labour.","We were able to catch nothing without labour.","We were able to get nothing without labour.","We could seize nothing without work.","We could seize nothing without toil.",
"epistulam dē mōribus lībertātis fratrēs rēgis mīsērunt.","The brothers of the king sent a letter about the customs of liberty.","The brothers of the king sent a letter about the manners of liberty.","The brothers of the king sent a letter about the habits of liberty.","The brothers of the king sent a letter about the customs of freedom.","The brothers of the king sent a letter about the manners of freedom.","The brothers of the king sent a letter about the habits of freedom.","The brothers of the king have sent a letter about the customs of liberty.","The brothers of the king have sent a letter about the manners of liberty.","The brothers of the king have sent a letter about the habits of liberty.","The brothers of the king have sent a letter about the customs of freedom.",
"sī patriam sine armīs rēx regit, cum honōre regit.","If the king rules the homeland without arms, he rules with honour.","If the king is ruling the homeland without arms, he is ruling with honour.","If the king rules the fatherland without arms, he rules with honour.","If the king is ruling the fatherland without arms, he is ruling with honour.","If the king rules the homeland without weapons, he rules with honour.","If the king is ruling the homeland without weapons, he is ruling with honour.","If the king rules the fatherland without weapons, he rules with honour.","If the king is ruling the fatherland without weapons, he is ruling with honour.","If the king rules his homeland without arms, he rules with honour.","If the king rules his homeland without weapons, he rules with honour.",
"officium honorque vītās hominum regere possunt.","Duty and honour are able to rule the lives of men.","Duty and honour can rule the lives of men.","A kindness and honour are able to rule the lives of men.","A kindness and honour can rule the lives of men.","A favour and honour can rule the lives of men.","A favour and honour are able to rule the lives of men.","Duty and privilege can rule the lives of men.","Duty and privilege are able to rule the lives of men.","A favour and privilege can rule the lives of men.","A favour and privilege are able to rule the lives of men.",
"fuit tempus quandō carmina poētārum lēgimus. sed nunc numquam dē poētīs carminibusque cogitamus.","There was a time when we read the poems of the poets. But now we never think about the poets and poems.","There was a time when we read the songs of the poets. But now we never think about the poets and songs.","There was a time when we read the poems of poets. But now we never think about poets and poems.","There was a time when we read the songs of poets. But now we never think about poets and songs.","There was a time when we read the poems of the poets. But now we never think about the poets and their poems.","There was a time when we read the songs of the poets. But now we never think about the poets and their songs.","There was a time when we read the poems of poets. But now we never think about poets and their poems.","There was a time when we read the songs of poets. But now we never think about poets and their songs.","There was a time when we read the poets' poems, but now we never think about the poets and poems.","There was a time when we read the poets' songs, but now we never think about the poets and songs.",
"vox populī, vox Deī.","The voice of the people, the voice of God.","The voice of the people, is the voice of God.","The voice of the people is the voice of God.","The voice of people, the voice of God.","The voice of people, is the voice of God.","The voice of people is the voice of God.","The voice of the nation, the voice of God.","The voice of the nation, is the voice of God.","The voice of the nation is the voice of God.","The voice of a nation, the voice of God.",
"amor regit sine lēge.","Love rules without law.","Love is ruling without law.","Love rules without statute.","Love is ruling without satute.","Love directs without law.","Love is directing without law.","Love rules without the law.","Love directs without the law.","Love is ruling without the law.","Love is directing without the law.",
"error fīlius est errōris.","The son of an error is an error.","An error is the son of an error.","Error is the son of error.","The son of error is error.","Error is error's son.","An error is an error's son.","Error's son is error.","An error's son is an error.",,,
"vestis virum facit.","Clothes makes the man.","Clothing makes the man.","Clothing makes a man.",,,,,,,,
"amor vincit omnia.","Love conquers all.","Love conquers everything.","Love defeats all.","Love defeats everything.","Love is conquering everything.","Love is defeating everything. ",,,,,
"vēritās omnia vincit.","Truth conquers all.","Truth conquers everything.","Truth defeats all.","Truth defeats everything.","The truth conquers everything.","The truth defeats everything.","Truth is conquering everything.","Truth is defeating everything.","The truth is conquering everything.","The truth is defeating everything.",
"labor omnia vincit.","Labour conquers all.","Labour conquers everything.","Work conquers all.","Work conquers everything.","Toil conquers all.","Toil conquers everything.","Labour defeats all.","Labour defeats everything.","Work defeats everything.","Toil defeats everything.",
"fāta regunt hominēs.","The fates rule men.","The fates rule people.","The fates rule the men.","The fates rule the people.","The fates are ruling men.","The fates are ruling people.","The fates are ruling the men.","The fates are ruling the people.","The fates direct men.","The fates direct people.",
"omnia vincit amor, sed pecūnia vincit amōrem.","Love conquers all, but money conquers love.","Love conquers everything, but money conquers love.","Love defeats everything, but money defeats love.","Love is conquering everything, but money is conquering love.","Love is defeating everything, but money is defeating love.",,,,,,
"sīc eunt fāta hominum.","Thus go the fates of men.","So go the fates of men.","In this way go the fates of men.","Thus go the fates of people.","So go the fates of people.","In this way go the fates of people.","Thus go men's fates.","So go men's fates.","In this way go men's fates.","So go people's fates.",
"labor paupertātem vincit.","Work conquers poverty.","Work defeats poverty.","Labour conquers poverty.","Labour defeats poverty.","Work is conquering poverty.","Work is defeating poverty.","Labour is conquering poverty.","Labour is defeating poverty.",,,
"inter arma silent lēgēs.","Among weapons, the laws are silent.","Between weapons, the laws are silent.","Among arms, the laws are silent.","Between arms, the laws are silent.","Amid arms, the laws are silent.","Amid weapons, the laws are silent.","Amid arms, laws are silent.","Amid weapons, laws are silent.","Among arms, laws are silent.","Among weapons, laws are silent.",
"mōs regit lēgem.","Custom rules law.","Manner rules law.","Nature rules law.","Habit rules law.","Custom directs law","Manner directs law.","Nature directs law.","Habit directs law.","Custom rules the law.","Manner rules the law.",
"vēritās numquam perit.","The truth never perishes.","The truth never dies.","Truth never perishes.","Truth never dies.","The truth never passes away.","Truth never passes away.","The truth never disappears.","Truth never disappears.",,,
"vēritās ōdit morās.","The truth hates delay.","Truth hates delay.","The truth hates delays.","Truth hates delays.",,,,,,,
"ubi est virtūs, ibi miseria esse nōn potest.","Where there is virtue, there misery is unable to be.","Where there is virtue, in that place misery is unable to be.","Where there is virtue, there misery is not able to be.","Where there is virtue, in that place misery is not able to be.","Where there is virtue, there misery cannot be.","Where there is virtue, in that place misery cannot be.","Where there is excellence, there misery is not able to be.","Where there is excellence, in that place misery is not able to be.","Where there is excellence, there misery cannot be.","Where there is excellence, in that place misery cannot be.",
"dēlectātiōnis causā scrībunt poētae, nōn ūtilitātis.","The poets write for the sake of pleasure, not for the sake of utility.","The poets write for the sake of amusement, not for the sake of utility.","The poets write for the sake of pleasure, not for the sake of usefulness.","The poets write for the sake of amusement, not for the sake of usefulness.","The poets write for the sake of pleasure, not of utility.","The poets write for the sake of amusement, not of utility.","The poets write for the sake of pleasure, not of usefulness.","The poets write for the sake of amusement, not of usefulness.","Poets write for the sake of pleasure, not for the sake of utility.","Poets write for the sake of amusement, not for the sake of utility.",
"homō ex animō cōnstat et corpore.","A human consists of mind and body.","A person consists of mind and body.","A man consists of mind and body.","A human being consists of mind and body.","A human consists of soul and body.","A person consists of soul and body.","A man consists of soul and body.","A human being consists of soul and body.","Man consists of mind and body.","Man consists of soul and body.",
"factum lex, nōn sententiam, videt.","The law sees fact, not opinion.","The statute sees fact, not opinion.","The law sees the act, not the opinion.","The statute sees the act, not the opinion.","The law sees the fact, not the opinion.","The statute sees the fact, not the opinion.","The law sees the deed, not the opinion.","The statue sees the deed, not the opinion.","The law sees the act, not the idea.","The statue sees the act, not the idea.",
"Caesar bellum magnā cum virtūte gessit.","Caesar waged war with great virtue.","Caesar has waged war with great virtue.","Caesar waged war with great manliness.","Caesar has waged war with great manliness.","Caesar waged war with great excellence.","Caesar has waged war with great excellence.",,,,,
"agricola vītam bonam in agrīs agere potest.","A farmer is able to make a good life in land.","A farmer is able to live a good life in land.","A farmer is able to make a good life on a farm.","A farmer is able to live a good life on a farm.","A farmer is able to lead a good life in the fields.","The farmer is able to lead a good life in the fields. ","A farmer can lead a good life in the fields.","The farmer can lead a good life in the fields.","A farmer is able to lead a fine life in the fields.","A farmer is able to lead an excellent life in the fields.",
"tum carmen legere potuimus, et nunc dē verbīs eius scrībimus.","Then we were able to read the song, and now we write about the words of it.","Then we were able to read the song, and now we write about its words.","Then we were able to read the song, and now we are writing about the words of it.","Then we were able to read the song, and now we are writing about its words.","Then we could read the song, and now we write about the words of it.","Then we could read the song, and now we write about its words.","Then we could read the song, and now we are writing about the words of it.","Then we could read the song, and now we are writing about its words.","Then we were able to read the poem, and now we write about the words of it.","Then we were able to read the poem, and now we write about its words.",
"multō cum timōre frātrēs meī vēritātem dē mōribus rēgis dīcunt.","With great fear, my brothers speak the truth about the customs of the king.","With great fear, my brothers are speaking the truth about the customs of the king.","With great fear, my brothers speak the truth about the morals of the king.","With great fear, my brothers are speaking the truth about the morals of the king.","With great fear, my brothers speak the truth about the character of the king.","With great fear, my brothers are speaking the truth about the character of the king. ","My brothers speak the truth about the customs of the king with great fear.","My brothers are speaking the truth about the customs of the king with great fear.","My brothers speak the truth about the morals of the king with great fear.","My brothers are speaking the truth about the morals of the king with great fear.",
"dūc in bellum, ō rēgīna, virōs tuōs fēmināsque!","Lead into war, o queen, your men and women!","O queen, lead your men and women into war!","Lead your men and women into war, o queen!","Lead into war, oh queen, your men and women!","Oh queen, lead your men and women into war!","Lead your men and women into war, oh queen!","Lead into war, queen, your men and women!","Queen, lead your men and women into war!","Lead your men and women into war, queen!",,
"fēminaene multae Rōmam īre potērunt?","Will many women be able to go to Rome?","Many women will be able to go to Rome?","Shall many women be able to go to Rome?","Many women shall be able to go to Rome?",,,,,,,
"frāter noster magnum librum dē patriae exitiō scrīpsit.","Our brother wrote a great book about the destruction of the fatherland.","Our brother wrote a great book about the destruction of the country.","Our brother wrote a great book about the ruin of the fatherland.","Our brother wrote a great book about the ruin of the country.","Our brother has written a great book about the destruction of the fatherland.","Our brother has written a great book about the destruction of the country.","Our brother has written a great book about the ruin of the fatherland.","Our brother has written a great book about the ruin of the country.","Our brother wrote a great book about the destruction of the homeland.","Our brother has written a great  book about the destruction of the homeland.",
"īte nunc, mī amīcī, et in pāce vīvite!","Go now, my friends, and live in peace!","Go now and live in peace, my friends!","My friends, go now and live in peace!",,,,,,,,
"sorōrēs vestrae parvum numerum nōminum in librō scrībunt.","Your sisters write a small number of names in the book.","Your sisters are writing a small number of names in the book.","In the book, your sisters write a small number of names.","In the book, your sisters are writing a small number of names.","Your sisters write a small number of names in a book.","Your sisters are writing a small number of names in a book.","In a book, your sisters write a small number of names.","In a book, your sisters are writing a small number of names.",,,
"paucīs hōrīs optimum vīnum avārī bibērunt.","In a few hours the greedy men have drunk the best wine.","The greedy men drank the best wine in a few hours.","In a few hours the greedy men drank the best wine.","The greedy people drank the best wine in a few hours.","In a few hours the greedy men have drunk the very good wine.","The greedy men drank the very good wine in a few hours.","In a few hours the greedy men drank the very good wine.","The greedy people drank the very good wine in a few hours.","In a few hours the greedy people have drunk the best wine.","The greedy people have drunk the best wine in a few hours.",
"temporibus antiquīs rēx optimōs hominēs in agrōs mīsit.","In ancient times the king sent the best men into the fields.","The king sent the best men into the fields in ancient times.","In ancient times the king sent the best men up to the fields.","The king sent the best men up to the fields in ancient times.","In ancient times the king sent the best people into the fields.","The king sent the best people into the fields in ancient times.","In ancient times the king sent the best people up to the fields.","The king sent the best people up to the fields in ancient times.","The king sent the best human beings into the fields in ancient times.","In ancient times the king sent the best human beings into the fields.",
"pater tuus dīs gratiās ēgit et fēcit bellum templum.","Your father thanked the gods and he made a beautiful temple.","Your father has thanked the gods and he made a beautiful temple.","Your father thanked the gods and he has made a beautiful temple.","Your father has thanked the gods and he has made a beautiful temple.","Your father made a beautiful temple and he thanked the gods.","Your father has made a beautiful temple and he thanked the gods.","Your father made a beautiful temple and he has thanked the gods.","Your father has made a beautiful temple and he has thanked the gods.","Your father thanked the gods and made a beautiful temple.","Your father has thanked the gods and has made a beautiful temple.",
"pāx est bona; bella, mala.","Peace is good; wars are bad.","Peace is good; wars are evil.","Peace is good; wars, bad.","Peace is good; wars, evil.","Peace is fine; wars are bad.","Peace is fine; wars are evil.","Peace is fine; wars, bad.","Peace is fine; wars, evil.","Peace is excellent; wars are bad.","Peace is excellent; wars are evil.",
"in minimīs maxima perīcula sunt.","There are very great dangers in the smallest things.","Dangers are the greatest in the smallest things.","Very great dangers are in the smallest things.","The greatest dangers are in the smallest things.","The greatest risks are in the smallest things.","Risks are the greatest in the smallest things.","There are very great risks in the smallest things.","Very great risks are in the smallest things.","The greatest dangers are in very small things.","Dangers are the greatest in very small things.",
"malōrum sententia paucōs stultōs saepe fallit.","An opinion of evil men often tricks a few foolish men.","An opinion of evil men often tricks a few fools.","The opinion of evil men often tricks a few foolish men.","The opinion of evil men often tricks a few fools.","An opinion of evil men often deceives a few foolish men.","An opinion of evil men often deceives a few fools.","The opinion of evil men often deceives a few foolish men.","The opinion of evil men often deceives a few fools.","The judgement of evil men often tricks a few foolish men.","The judgement of evil men often deceives a few fools.",
"ex optimō patre saepe pessimī filiī veniunt.","The worst sons often come from the best father.","The worst sons often come out of the best father.","From the best father, the worst sons come.","Out of the best father, the worst sons come.","Very bad sons often come from a very good father.","Very bad sons often come out of a very good father.",,,,,
"bibe cum gaudiō vīnum tuum.","Drink your wine with joy.","Drink your wine with delight.","With joy, drink your wine.","With delight, drink your wine.",,,,,,,
"stulte, quid ēgistī?","Fool, what did you do?","Fool, what have you done?","What did you do, fool?","What have you done, fool?","Foolish man, what did you do?","Foolish man, what have you done?","Foolish person, what did you do?","Foolish person, what have you done?",,,
"vērae amīcitiae sempiternae sunt.","True friendships are eternal friendships.","True friendships are eternal.","Eternal friendships are true.","Real friendships are eternal frienships.","Real friendships are eternal.","Eternal friendships are real.",,,,,
"librī mūtī magistrī sunt.","Books are silent teachers.","The books are the silent teachers.","Books are the silent teachers.","The books are silent teachers.","Books are mute teachers.","The books are mute teachers.","Books are the mute teachers.","The books are mute teachers.","Books are speechless teachers.","The books are the speechless teachers.",
"amor magnus magister est.","Love is a great teacher.","A great teacher is love.","Love is a great master.","A great master is love.",,,,,,,
"stultum stultus cognōscit, et lupum lupus.","A fool knows a fool, and a wolf knows a wolf.","A foolish man knows a foolish man, and a wolf knows a wolf.","A wolf knows a wolf, and a fool knows a fool.","A wolf knows a wolf, and a foolish man knows a foolish man.","A fool recognizes a fool, and a wolf recognizes a wolf.","A foolish man recognizes a foolish man, and a wolf recognizes a wolf.","A wolf recognizes a wolf, and a fool recognizes a fool.","A wolf recognizes a wolf, and a foolish man recognizes a foolish man.","A fool knows a foolish man, and a wolf recognizes a wolf.","A foolish man recognizes a fool, and a wolf knows a wolf.",
"ego sum via et vēritās et vīta.","I am a way and truth and life.","I am a life and truth and way.","I am a road and truth and life.","I am a truth and way and life.","I am a truth and life and way.","I am a life and way and truth.","I am the way, the truth, and the life.","I am the way and the truth and the life.","I am the way and truth and life.","I am the way, truth, and life. ",
"poētae quī bona vīna bibunt, bona carmina scrībunt.","The poets who drink good wines, write good poems.","Poets who drink good wines, write good poems.","The poets who drink fine wines, write fine songs.","Poets who drink fine wines, write fine songs.","The poets who drink good wines, write good songs.","Poets who drink good wines, write good songs.","The poets who drink fine wines, write fine poems.","Poets who drink fine wines, write fine poems.","The poets who drink excellent wines, write excellent poems.","Poets who drink excellent wines, write excellent poems.",
"superest sine mē nōmen in urbe meum.","My name remains without me in the city.","My name survives without me in the city.","My name remains in the city without me.","My name survives in the city without me.","Without me in the city, my name remains.","Without me in the city, my name survives.","In the city without me, my name remains.","In the city without me, my name survives.","My name remains in a city without me.","My name survives in a city without me.",
"lēgēs sine mōribus vānae sunt.","Laws without morals are vain.","Empty laws are without morals.","There are vain laws without morals.","There are empty laws without morals.","Vain laws are without customs.","Empty laws are without customs.","There are vain laws without customs.","There are empty laws without customs.","Laws without morals are empty.","Laws are empty without morals.",
"odium numquam potest esse bonum.","Hatred is never able to be good.","Hatred is never able to be a good thing.","Hatred can never be good.","Hatred can never be a good thing.",,,,,,,
"Lucius Tarquinius Superbus bellum cum Vulscīs gessit et ex spoliīs templum in Capitoliō Iovī fēcit.","Lucius Tarquinius Superbus waged war with the Vulsci and made a temple from the spoils on the Capitoline Hill to Jupiter.","Lucius Tarquinius Superbus waged war with the Vulsci and made a temple from the plunder on the Capitoline Hill to Jupiter.","Lucius Tarquinius Superbus has waged war with the Vulsci and has made a temple from the spoils on the Capitoline Hill to Jupiter.","Lucius Tarquinius Superbus has waged war with the Vulsci and has made a temple from the plunder on the Capitoline Hill to Jupiter.","Lucius Tarquinius Superbus waged war with the Vulsci and made a temple for Jupiter from the spoils on the Capitoline Hill.","Lucius Tarquinius Superbus waged war with the Vulsci and made a temple for Jupiter from the plunder on the Capitoline Hill.","Lucius Tarquinius Superbus has waged war with the Vulsci and has made a temple for Jupiter from the spoils on the Capitoline Hill.","Lucius Tarquinius Superbus has waged war with the Vulsci and has made a temple for Jupiter from the plunder on the Capitoline Hill.","Lucius Tarquinius Superbus waged war with the Vulsci and made a temple out of the spoils on the Capitoline hill to Jupiter.","Lucius Tarquinius Superbus waged war with the Vulsci and made a temple out of the plunder on the Capitoline Hill to Jupiter.",
"historia, testis temporum, magistra vītae est.","History, witness of times, is the teacher of life.","History is the teacher of life, the witness of times.","History, witness of the times, is the teacher of life.","History, the witness of the times, is the teacher of life.","History, witness of the times, is the teacher of life.","History, witness of times, is the master of life.","History, the witness of the times, is the master of life.","History, the witness of times, is the master of life.","History, witness of the times, is the master of life. ","History, the witness of occasions, is the teacher of life.",
"et mea omnia tua sunt et tua mea sunt.","Both all my things are yours, and all your things are mine.","And all my things are yours, and all your things are mine.","Both all your things are mine, and all my things are yours.","And all your things are mine, and all my things are yours.","Both all of my things are all of your things, and all of your things are all of my things.","And all of my things are all of your things, and all of your things are all of my things.","Both all of your things are all of my things, and all my of things are all of your things.","And all of your things are all of my things, and all of my things are all of your things.","Both all my things are yours and all your things are mine.",,
"iam frāter frātrem, iam fallit fīlia mātrem, iamque pater fīlium, iam fallit amīcus amīcum.","Now brother deceives brother, then daughter deceives mother, and then father deceives son, then friend deceives friend.","Now brother tricks brother, then daughter tricks mother, and then father tricks son, then friend tricks friend.","Now brother misleads brother, then daughter misleads mother, and then father misleads son, then friend misleads friend.","Now brother deceives brother, now daughter deceives mother, and now father deceives son, now friend deceives friend.","Now brother tricks brother, now daughter tricks mother, and now father tricks son, now friend tricks friend.","Now brother misleads brother, now daughter misleads mother, and now father misleads son, now friend misleads friend.","Now brother deceives brother, then daughter deceives mother, and now father deceives son, then friend deceives friend.","Now brother tricks brother, then daughter tricks mother, and now father tricks son, then friend tricks friend.","Now brother misleads brother, then daughter misleads mother, and now father misleads son, then friend misleads friend.","Now brother deceives brother, then daughter deceives mother, then father deceives son, and then friend deceives friend.",
